M,N,b,PSO-LPT-EDD,PSO-SPT-EDD,PSO-MINC,PSO-MINY,PSO-T,TABU-LPT-EDD,TABU-SPT-EDD,TABU-MINC,TABU-MINY,TABU-T
3,15,20,25.69,79.18,65.37,64.21,1.00,23.61,78.60,64.40,63.21,0.01
3,15,30,22.22,78.17,65.33,62.67,0.99,21.53,77.97,65.02,62.33,0.01
3,15,50,20.37,75.00,58.25,59.05,0.99,19.75,74.81,57.93,58.73,0.01
3,30,20,24.43,73.12,57.93,57.87,1.70,22.90,72.58,57.08,57.02,0.02
3,30,30,19.40,70.62,53.22,55.12,1.70,18.89,70.43,52.92,54.84,0.02
3,30,50,17.14,70.68,55.63,51.96,1.72,15.58,70.13,54.80,51.05,0.02
3,60,20,20.02,68.90,51.80,52.98,3.31,20.60,69.13,52.15,53.32,0.03
3,60,30,16.00,67.31,50.44,50.40,3.31,14.98,66.92,49.83,49.80,0.02
3,60,50,13.76,66.80,50.40,48.42,3.30,12.96,66.49,49.93,47.94,0.02
5,25,20,47.24,92.86,87.21,87.57,1.46,42.52,92.22,86.07,86.46,0.01
5,25,30,35.16,91.08,83.76,84.28,1.46,32.03,90.65,82.97,83.52,0.02
5,25,50,23.94,88.69,79.07,78.00,1.47,23.24,88.59,78.88,77.80,0.01
5,50,20,38.83,87.36,76.73,77.70,2.74,41.50,87.91,77.75,78.67,0.02
5,50,30,29.27,83.85,70.89,71.13,2.72,28.82,83.75,70.71,70.95,0.02
5,50,50,19.38,82.03,68.77,70.08,2.72,20.04,82.18,69.03,70.33,0.02
5,100,20,14.45,77.70,61.25,61.89,5.56,26.65,80.88,66.78,67.33,0.04
5,100,30,4.20,75.45,58.23,58.98,5.44,19.29,79.31,64.81,65.44,0.03
5,100,50,0.37,73.69,57.38,57.02,5.38,12.14,76.80,62.42,62.10,0.04
10,50,20,75.61,99.50,98.89,98.86,2.74,65.85,99.30,98.44,98.40,0.03
